x,y,class
0.940228187,-0.978820391,0
0.920038161,-0.943140807,0
0.872478481,-0.953266293,0
-0.867356493,0.905197782,0
-0.803351064,0.911695106,0
-0.811461651,0.839448213,0
-0.77026737,0.770011586,0
-0.546424817,0.956289374,0
-0.804273484,0.591000387,0
0.882670371,-0.509560897,0
0.532818742,-0.835983608,0
-0.909273291,0.489563494,0
0.436283229,-0.827668438,0
-0.477621936,0.731256759,0
-0.486227988,0.70758317,0
-0.343956894,0.97544226,0
-0.38197375,0.820687067,0
0.625499967,-0.416480143,0
-0.987488445,0.246743756,0
0.406552914,-0.578968284,0
-0.450457339,0.480547817,0
-0.636755504,0.27642985,0
-0.887628439,0.181853983,0
-0.25236725,0.636579886,0
0.203438408,-0.669063597,0
-0.367099172,0.367406535,0
-0.863505504,0.135804359,0
0.128309293,-0.786344688,0
0.892203962,-0.105857827,0
0.797135934,-0.114285813,0
-0.243341292,0.369509598,0
0.331328311,-0.259863435,0
-0.158603694,0.454344458,0
-0.109021889,0.649778542,0
-0.474449229,0.139021035,0
-0.172333562,0.352542039,0
-0.351655179,0.17004839,0
0.525473708,-0.109374129,0
0.095926024,-0.548558327,0
0.107052757,-0.392906495,0
0.623304769,-0.057542921,0
-0.077884429,0.458309405,0
-0.109307533,0.325019809,0
-0.035054857,0.659091459,0
0.145065775,-0.157903101,0
-0.086251424,0.191498284,0
0.16288342,-0.050036337,0
0.860156958,-0.007735614,0
0.007021246,-0.398436793,0
-0.197605905,0.009057553,0
-0.218163786,0.004379017,0
0.062809239,0.113774171,1
-0.224835946,-0.057229231,1
-0.648006568,-0.036323148,1
-0.145166292,-0.216800799,1
0.048094788,0.662407734,1
0.175187393,0.214681206,1
-0.361589429,-0.143778657,1
0.247465702,0.251737543,1
0.162434374,0.390989775,1
0.349969157,0.182980481,1
-0.864447026,-0.085136722,1
0.5837375,0.12982142,1
0.760056228,0.111392274,1
0.972861055,0.097986836,1
-0.275976028,-0.353937883,1
0.175541699,0.6701811,1
-0.586418848,-0.228820259,1
0.514056457,0.263569876,1
-0.211065853,-0.680268943,1
-0.31786399,-0.53386955,1
-0.390791665,-0.477741183,1
-0.244465658,-0.841409444,1
-0.400669787,-0.518684325,1
0.33631065,0.641764391,1
-0.527964427,-0.417044475,1
0.584085475,0.39364258,1
0.361165095,0.641804287,1
0.574106796,0.412564392,1
-0.777284273,-0.31400081,1
0.338813565,0.758199845,1
-0.427697644,-0.606175497,1
0.287931792,0.936734914,1
-0.607131513,-0.508928194,1
0.720648178,0.446528696,1
0.780663283,0.417276644,1
-0.623419587,-0.648794964,1
0.95669306,0.447816949,1
-0.80040181,-0.575423868,1
0.687049485,0.800037099,1
-0.767690821,-0.834044944,1
-0.679586223,-0.950396446,1
0.716185217,0.947928661,1
-0.700001001,-0.992380113,1
-0.823946071,-0.879800589,1
0.979938906,0.765222295,1
-0.995022352,-0.787641406,1
-0.915480942,-0.947310603,1
-0.971113455,-0.943915554,1
